Time before present (Ma),260,245,210,160,145,125,100,80,55,45,0
Quartzite (Unit 1),0,0.19,0.16,0.13,0.11,0.1,0.09,0.06,0.04,0.04,0.04
Anhydrite (Unit 2),0,0.0,0.05,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.02
Sandstone (Unit 3),0,0.0,0.0,0.46,0.41,0.38,0.32,0.22,0.17,0.15,0.15
Dolomite (Unit 4),0,0.0,0.0,0.0,0.17,0.14,0.09,0.04,0.02,0.02,0.02
Limestones (Unit 5),0,0.0,0.0,0.0,0.0,0.37,0.24,0.1,0.05,0.04,0.04
Sandstones (Unit 6),0,0.0,0.0,0.0,0.0,0.0,0.42,0.28,0.21,0.19,0.18
Chalk (Unit 7),0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.15,0.11,0.1
Shales (Unit 8),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.33,0.31
Sandstones (Unit 9),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.41
Shales (Unit 10),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
