НАШЕ;;Lithology_type;Event_name;260;245;210;160;145;125;100;80;55;45;0;;;;;;;;;;;;;;;;
;0;Shales;Layer 10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.20;;;;;;;;;;;;;;;;
;1;Sandstones;Layer 9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.26;0.45;;;Lithology_type;Event_name;;260;245;210;160;145;125;100;80;55;45;0
;2;Shales;Layer 8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.89;1.06;1.20;;;0;Shales;Layer 10;0;0;0;0;0;0;0;0;0;0;0.2
;3;Chalk;Layer 7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.75;2.26;2.39;2.50;;;1;Sandstones;Layer 9;0;0;0;0;0;0;0;0;0;0.261;0.25
;4;Sandstones;Layer 6;0.00;0.00;0.00;0.00;0.00;0.00;1.20;2.71;3.18;3.30;3.40;;;2;Shales;Layer 8;0;0;0;0;0;0;0;0;0.888;0.8;0.75
;5;Limestones;Layer 5;0.00;0.00;0.00;0.00;0.00;0.30;1.44;2.91;3.38;3.50;3.60;;;3;Chalk;Layer 7;0;0;0;0;0;0;0;1.747;1.374;1.33;1.3
;6;Dolomite;Layer 4;0.00;0.00;0.00;0.00;0.47;0.76;1.86;3.32;3.78;3.90;4.00;;;4;Sandstones;Layer 6;0;0;0;0;0;0;1.205;0.959;0.917;0.907;0.9
;7;Sandstones;Layer 3;0.00;0.00;0.00;0.39;0.83;1.10;2.15;3.58;4.03;4.15;4.25;;;5;Limestones;Layer 5;0;0;0;0;0;0.3;0.232;0.205;0.201;0.201;0.2
;8;Anhydrite;Layer 2;0.00;0.00;0.77;1.16;1.60;1.86;2.91;4.33;4.78;4.90;5.00;;;6;Dolomite;Layer 4;0;0;0;0;0.474;0.459;0.423;0.404;0.401;0.401;0.4
;9;Quartzite;Layer 1;0.03;0.47;1.22;1.60;2.03;2.29;3.33;4.73;5.19;5.30;5.40;;;7;Sandstones;Layer 3;0;0;0;0.392;0.356;0.339;0.293;0.26;0.253;0.251;0.25
;;;;;;;;;;;;;;;;;8;Anhydrite;Layer 2;0;0;0.771;0.768;0.765;0.764;0.758;0.752;0.751;0.75;0.75
Петромод;;Lithology_type;Event_name;260;245;210;160;145;125;100;80;55;45;0;;;9;Quartzite;Layer 1;0;0.471;0.45;0.442;0.434;0.429;0.416;0.404;0.401;0.401;0.4
;0;Shales;Layer 10;0;0;0;0;0;0;0;0;0;0;0.2;;;Stratigraphic thickness (km);NaN;NaN;0;0.471;1.221;1.602;2.029;2.291;3.327;4.731;5.186;5.302;5.4
;1;Sandstones;Layer 9;0;0;0;0;0;0;0;0;0;0.259;0.45;;;;;;;;;;;;;;;;
;2;Shales;Layer 8;0;0;0;0;0;0;0;0;0.876;1.048;1.2;;;;;;;;;;;;;;;;
;3;Chalk;Layer 7;0;0;0;0;0;0;0;1.739;2.247;2.373;2.5;;;;;;;;;;;;;;;;
;4;Sandstones;Layer 6;0;0;0;0;0;0;1.211;2.659;3.167;3.281;3.4;;;;;;;;;;;;;;;;
;5;Limestones;Layer 5;0;0;0;0;0;0.297;1.447;2.867;3.369;3.482;3.6;;;;;;;;;;;;;;;;
;6;Dolomite;Layer 4;0;0;0;0;0.466;0.755;1.875;3.274;3.771;3.883;4;;;;;;;;;;;;;;;;
;7;Sandstones;Layer 3;0;0;0;0.398;0.82;1.087;2.165;3.535;4.024;4.134;4.25;;;;;;;;;;;;;;;;
;8;Anhydrite;Layer 2;0;0;0.769;1.166;1.574;1.84;2.923;4.288;4.775;4.884;5;;;;;;;;;;;;;;;;
;9;Quartzite;Layer 1;0;0.47;1.211;1.603;2.002;2.265;3.338;4.692;5.176;5.285;5.4;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Разница;;;Event_name;260;245;210;160;145;125;100;80;55;45;0;;;;;;;;;;;;;;;;
;;Shales;Layer 10;0;0;0;0;0;0;0;0;0;0;0.0;;;;;;;;;;;;;;;;
;;Sandstones;Layer 9;0;0;0;0;0;0;0;0;0;1.0;0.0;;;;;;;;;;;;;;;;
;;Shales;Layer 8;0;0;0;0;0;0;0;0;1.3;1.3;0.0;;;;;;;;;;;;;;;;
;;Chalk;Layer 7;0;0;0;0;0;0;0;0.5;0.6;0.8;0.0;;;;;;;;;;;;;;;;
;;Sandstones;Layer 6;0;0;0;0;0;0;-0.5;1.8;0.3;0.6;0.0;;;;;;;;;;;;;;;;
;;Limestones;Layer 5;0;0;0;0;0;1.0;-0.7;1.6;0.3;0.5;0.0;;;;;;;;;;;;;;;;
;;Dolomite;Layer 4;0;0;0;0;1.8;0.5;-0.8;1.3;0.3;0.4;0.0;;;;;;;;;;;;;;;;
;;Sandstones;Layer 3;0;0;0;-1.5;1.3;1.0;-0.5;1.2;0.2;0.4;0.0;;;;;;;;;;;;;;;;
;;Anhydrite;Layer 2;0;0;0.2;-0.5;1.4;1.2;-0.4;0.9;0.2;0.4;0.0;;;;;;;;;;;;;;;;
;;Quartzite;Layer 1;0;0.2;0.8;-0.1;1.4;1.1;-0.3;0.9;0.2;0.3;0.0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
